a;ourselves
about;out
above;over
after;own
again;same
against;shan't
all;she
am;she'd
an;she'll
and;she's
any;should
are;shouldn't
aren't;so
as;some
at;such
be;than
because;that
been;that's
before;the
being;their
below;theirs
between;them
both;themselves
but;then
by;there
can't;there's
cannot;these
could;they
couldn't;they'd
did;they'll
didn't;they're
do;they've
does;this
doesn't;those
doing;through
don't;to
down;too
during;under
each;until
few;up
for;very
from;was
further;wasn't
had;we
hadn't;we'd
has;we'll
hasn't;we're
have;we've
haven't;were
having;weren't
he;what
he'd;what's
he'll;when
he's;when's
her;where
here;where's
here's;which
hers;while
herself;who
him;who's
himself;whom
his;why
how;why's
how's;with
i;won't
i'd;would
i'll;wouldn't
i'm;you
i've;you'd
if;you'll
in;you're
into;you've
is;your
isn't;yours
it;yourself
it's;yourselves
its;
itself;
let's;
me;
more;
most;
mustn't;
my;
myself;
no;
nor;
not;
of;
off;
on;
once;
only;
or;
other;
ought;
our;
ours;
